rank,song,artist,genre,year
71,Kernkraft 400 (A Better Day),Topic & A7S,Dance,2022.0
72,In The Stars,Benson Boone,Pop,2022.0
73,Valhalla Calling (feat. Peyton Parrish) [Duet Version],Miracle of Sound,Heavy Metal,2022.0
74,Angel,Sault,Alternative,2022.0
75,What Dreams Are Made Of,Brent Morgan,Pop,2022.0
76,Oh! Wat Een Vriend Ben Jij,Will Tura,Pop,2022.0
77,Mr. Clarinet,The Birthday Party,Alternative,2022.0
78,Swingin' Five,Klaus Weiss,Jazz,2022.0
79,Weightless,Coals,Alternative,2022.0
80,Therapy pt. 2 (feat. Mac Miller),Robert Glasper,Jazz,2022.0
81,What Trance Feels Like,Funk Tribu,Dance,2022.0
82,Abracadabra,"Rexxie, Naira Marley & Skiibii",Amapiano,2022.0
83,"Stand Up (From the Original Motion Picture ""Till"")",Jazmine Sullivan,Soundtrack,2022.0
84,Flowers,TOBi,Hip Hop/Rap,2022.0
85,Julio Iglesias,Rigoberta Bandini,Pop,2022.0
86,Canciones de Amor a Ti,Rigoberta Bandini,Pop,2022.0
87,Beter Dan Ferrari,Patito Loco & De Sfeermakers,Dance,2022.0
88,PICKNEY,KAM-BU,Hip Hop/Rap,2022.0
89,Protein v2 (feat. Obongjayar & WESTSIDE BOOGIE),Jeshi,Hip Hop/Rap,2022.0
90,Older Me (feat. Marvin Brooks & Ali Christenhusz),"2WEI, Joznez & Kataem",Hip Hop/Rap,2022.0
91,The Underground Baby,Luca Bisori,House,2022.0
92,Passage,Subjoi,House,2022.0
93,Out My Face,Lou Phelps,Hip Hop/Rap,2022.0
94,Stärker (feat. Zeynep Avci),Johannes Oerding,Pop,2022.0
95,Born Again,The Indien,Pop,2022.0
96,"Orchestral Suite No. 1 in C Major, BWV 1066: VII. Passepied I - Passepied II",Dunedin Consort & John Butt,Classical,2022.0
97,"Orchestral Suite No. 2 in B Minor, BWV 1067: V. Polonaise & Double",Dunedin Consort & John Butt,Classical,2022.0
98,"Orchestral Suite No. 3 in D Major, BWV 1068: V. Gigue",Dunedin Consort & John Butt,Classical,2022.0
99,Champagne Problems,ENNY,Hip-Hop,2022.0
100,Fruity,chloe moriondo,Pop,2022.0
4,Flowers Need Rain,Preston Pablo & Banx & Ranx,Pop,2022.0
7,Can't Fight the Moonlight,LeAnn Rimes,Soundtrack,2022.0
11,Run Away to Mars,TALK,Rock,2022.0
26,Don't You (Forget About Me),Simple Minds,Soundtrack,2022.0
38,Chill Like That,Sunday Scaries & PiCKUPLiNES,Dance,2022.0
39,Bam Bam (feat. Ed Sheeran),Camila Cabello,Pop,2022.0
49,It Must Have Been Love,Jeanick Fournier,Adult Contemporary,2022.0
50,ILLELLA,MAMAMOO,K-Pop,2022.0
52,I Surrender,Jeanick Fournier,Adult Contemporary,2022.0
56,She Keeps Me Up,Nickelback,Rock,2022.0
59,We Don't Talk About Bruno,"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto - Cast",Soundtrack,2022.0
66,La tribu de Dana,Manau,Hip Hop/Rap,2022.0
67,The Right Kind of Wrong,LeAnn Rimes,Soundtrack,2022.0
69,Heal,Tom Odell,Alternative,2022.0
75,BILLIE EILISH.,Armani White,Hip Hop/Rap,2022.0
76,I Found You,Nate Smith,Country,2022.0
77,"I Know Where I've Been (from the Netflix Film ""Luckiest Girl Alive"")",Elle King,Pop,2022.0
79,September,"Earth, Wind & Fire",R&B/Soul,2022.0
82,Half Of Me (feat. Riley Green),Thomas Rhett,Country,2022.0
83,Knock Off,Jess Moskaluke,Country,2022.0
85,Scream,Masayoshi Soken,Soundtrack,2022.0
86,We All Are,Mirror,Cantopop,2022.0
87,L.I.E.C,MAMAMOO,K-Pop,2022.0
88,Thunderstruck,AC/DC,Hard Rock,2022.0
90,Heat Waves,Glass Animals,Alternative,2022.0
93,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")",Lady Gaga,Pop,2022.0
94,Surface Pressure,Jessica Darrow,Soundtrack,2022.0
95,Trompeta,Willy William,Dance,2022.0
96,Whiskey On You,Nate Smith,Country,2022.0
97,Those Days,Nickelback,Pop,2022.0
99,San Quentin,Nickelback,Rock,2022.0
100,Patient Number 9 (feat. Jeff Beck),Ozzy Osbourne,Heavy Metal,2022.0
3,Tippa-T,Turisti & Elastinen,Hip Hop/Rap,2022.0
5,Summer Really Hurt Us,ALMA,Pop,2022.0
6,Under My Thumb,The Rolling Stones,Rock,2022.0
7,Jump Jive an' Wail,The New 101 Strings Orchestra,Easy Listening,2022.0
8,Stupid Girl,The Rolling Stones,Rock,2022.0
9,Svífum,Karen Ósk & Birgir,Pop,2022.0
11,Do It Again (feat. 2Rare),NLE Choppa,Hip Hop/Rap,2022.0
12,La Única,Kali Uchis,Pop in Spanish,2022.0
13,SKAOL SKADLE,Ylvis & Kjartan Lauritzen,Pop,2022.0
14,What Kinda,Lebra Jolie,Hip Hop/Rap,2022.0
15,Verden Vågner,Gilli & Saveus,Pop,2022.0
16,MY CRUSH,KILLBOY,Pop,2022.0
