track_id,artist,track_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6p8FcYD1qR4e3gbunwQjXH,Mark Mendy,Carbon,0.796,0.602,8,-8.033,1,0.252,0,0.105,0.612,105.026,153145,4
0TK2YIli7K1leLovkQiNik,Shawn Mendes,Señorita,0.759,0.54,9,-6.039,0,0.0287,0,0.0945,0.75,116.947,190960,4
2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,0.701,0.425,7,-10.965,1,0.375,0.13,0.1,0.562,135.128,194088,4
5eMUxYy0XTxjwsbWkRneP9,Matilde G,Digging For Diamonds,0.594,0.533,7,-8.9,1,0.0433,0,0.0609,0.479,143.875,185440,4
14msK75pk3pA33pzPVNtBF,Ariana Grande,7 rings,0.725,0.321,1,-10.744,0,0.323,0,0.0884,0.319,70.142,178640,4
6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,Old Town Road (feat. Billy Ray Cyrus) - Remix,0.878,0.619,6,-5.56,1,0.102,0,0.113,0.639,136.041,157067,4
2dpaYNEQHiRxtZbfNsse99,Marshmello,Happier,0.687,0.792,5,-2.749,1,0.0452,0,0.167,0.671,100.015,214290,4
09CtPGIpYB4BrO8qb1RGsF,Justin Bieber,Sorry,0.654,0.76,0,-3.669,0,0.045,0,0.299,0.41,99.945,200787,4
1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,High Hopes,0.579,0.904,5,-2.729,1,0.0618,0,0.064,0.681,82.014,190947,4
25sgk305KZfyuqVBQIahim,Ava Max,Sweet but Psycho,0.719,0.704,1,-4.724,1,0.0476,0,0.166,0.628,133.002,187436,4
4IBF6swzOOH2kLB06E7nNR,Ally Ahern,MY POSTERS,0.865,0.693,10,-5.006,0,0.117,0,0.037,0.866,144.068,124896,4
7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,0.825,0.652,1,-3.183,0,0.0802,0,0.0931,0.931,95.977,233713,4
7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,Closer,0.748,0.524,8,-5.599,1,0.0338,0,0.111,0.661,95.01,244960,4
0d2iYfpKoM0QCKvcLCkBao,benny blanco,Eastside (with Halsey & Khalid),0.56,0.68,6,-7.648,0,0.321,0,0.116,0.319,89.391,173800,4
2rPE9A1vEgShuZxxzR2tZH,Ariana Grande,"thank u, next",0.724,0.647,1,-5.642,1,0.0658,0,0.102,0.435,106.96,207333,4
